iter	Passed	Remaining
0	0	66
1	1	59
2	1	53
3	2	48
4	2	48
5	3	47
6	3	47
7	4	46
8	4	46
9	5	46
10	5	46
11	6	47
12	7	47
13	7	47
14	8	47
15	8	46
16	9	46
17	10	45
18	10	45
19	11	44
20	11	44
21	12	43
22	13	43
23	13	43
24	14	42
25	14	42
26	15	41
27	15	41
28	16	40
29	17	40
30	17	39
31	18	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	18
68	38	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	12
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	50	6
88	50	6
89	51	5
90	52	5
91	52	4
92	53	4
93	53	3
94	54	2
95	54	2
96	55	1
97	56	1
98	56	0
99	57	0
